centro_salud,consultorio
CS8715,CS13295
CS7255,CS7373
CS8201,CS13393
CS0531,CS12644
CS6851,CS12769
CS7205,CS7253
CS0530,CS9065
CS0530,CS9066
CS10911,CS7251
CS7255,CS15740
CS7231,CS7252
CS7232,CS9317
CS7232,CS15145
CS7255,CS11482
CS7200,CS7246
CS7255,CS7366
CS7255,CS11482
CS7255,CS7374
CS7200,CS7256
CS7200,CS7249
CS8201,CS13227
CS7432,CS8716
CS7255,CS15742
CS8609,CS13711
CS7465,CS12162
CS0177,CS14619
CS8610,CS8906
CS0507,CS9208
CS8715,CS12605
CS8201,CS9494
CS8610,CS12650
CS8201,CS15739
CS9304,CS0510
CS8201,CS12661
CS0531,CS12647
CS8201,CS12762
CS0538,CS12474
CS8201,CS13404
CS0507,CS9370
CS5277,CS10477
CS5277,CS9861
CS5277,CS9855
CS5277,CS10479
CS5277,CS19788
CS5277,CS9860
CS9583,CS13045
CS9583,CS14967
CS0512,CS13990
CS9583,CS13990
CS8502,CS8921
CS9583,CS13050
CS9583,CS13085
CS9583,CS13132
CS0512,CS8447
CS0512,CS0565
CS8201,CS13375
CS8201,CS13222
CS9304,CS13710
CS8201,CS13255
CS11910,CS11505
CS5244,CS7308
CS0567,CS11504
CS0567,CS13043
CS0219,CS8205
CS11910,CS11438
CS0567,CS11506
CS0219,CS11577
CS11910,CS13070
CS0219,CS9877
CS0567,CS10803
CS8625,CS11604
CS11910,CS12770
CS11910,CS11599
CS11910,CS11414
CS0219,CS7976
CS9841,CS7254
CS20465,CS7248
CS0567,CS9305
CS0219,CS13713
CS8626,CS8854
CS0571,CS9688
CS8201,CS12674
CS8201,CS12727
CS8715,CS13305
CS9337,CS11132
CS8201,CS12733
CS8201,CS12730
CS9550,CS9731
CS0538,CS12657
CS9643,CS9834
CS9643,CS9754
CS0545,CS9705
CS0531,CS12644
CS8201,CS12766
CS0558,CS8886
CS9635,CS13706
CS9337,CS13364
CS8609,CS13714
CS8201,CS13376
CS8201,CS12726
CS8715,CS12764
CS9665,CS13757
CS0554,CS9748
CS9550,CS9739
CS0545,CS9687
CS0545,CS9711
CS0545,CS9863
CS8201,CS12765
CS8201,CS12648
CS8609,CS13296
CS8610,CS9202
CS8201,CS13377
CS8201,CS9043
CS8609,CS14041
CS8201,CS13394
CS0507,CS12649
CS0507,CS9204
CS0558,CS13853
CS0531,CS12471
CS0507,CS9014
CS0507,CS9203
CS0507,CS13708
CS8609,CS13711
CS8201,CS12678
CS7255,CS12672
CS7255,CS10915
CS7200,CS7247
CS8610,CS13587

CS0531,CS12472
CS8610,CS9031
CS0567,CS11513
CS0507,CS9039
CS8201,CS13983
CS9304,CS15380
CS8201,CS12763
CS9304,CS13283
CS7526,CS7527
CS8201,CS13925
CS7526,CS9927
CS7367,CS7250
CS5277,CS16638
CS8609,CS16578
CS8609,CS12728
CS8201,AUXCONS1