lau_id,hospitales,centros_salud,consultorios
28001,['CH0097'],['CS8201'],['CS12674']
28002,['CH0097'],['CS8610'],['CS8906']
28003,['CH0097'],['CS8715'],['CS12605']
28004,['CH0045'],['CS0545'],['CS9705']
28008,['CH0045'],['CS0571'],['CS9688']
28009,['CH0097'],['CS0507'],['CS12649']
28010,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7205'],['CS7253']
28011,['CH0100'],['CS11910'],['CS11505']
28012,['CH0044'],['CS5277'],['CS10477']
28015,"['CH0032', 'CH0105']",['CS9635'],['CS13706']
28016,['CH0097'],['CS0558'],['AUXCONS1']
28017,['CH0098'],['CS9583'],['CS13045']
28018,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS0530'],['CS9065']
28019,['CH0100'],['CS0567'],['CS11504']
28020,['CH0097'],['CS8201'],['CS15739']
28021,['CH0097'],['CS0531'],['CS12472']
28023,['CH0102'],['CS0538'],"['CS12474', 'CS12657', 'CS6850']"
28024,['CH0097'],['CS8201'],['CS12661']
28025,['CH0100'],['CS0567'],['CS13043']
28026,['CH0102'],['CS7200'],['CS7247']
28027,['CH0097'],['CS8201'],['CS12766']
28028,['CH0097'],['CS9304'],['CS0510']
28029,['CH0097'],['CS0531'],['CS12647']
28030,['CH0097'],['CS0531'],[]
28031,['CH0045'],['CS9550'],[]
28032,['CH0044'],['CS10283'],[]
28033,['CH0100'],['CS11910'],[]
28034,['CH0097'],['CS8201'],['CS12762']
28035,['CH0100'],['CS0219'],['CS8205']
28036,['CH0098'],['CS9583'],['CS14967']
28037,['CH0045'],['CS9550'],['CS9731']
28038,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7232'],[]
28039,['CH0097'],['CS8201'],['CS13227']
28040,"['CH0095', 'CH0099']",['CS8502'],[]
28041,['CH0097'],['CS0507'],['CS9370']
28042,['CH0045'],['CS9643'],['CS9754']
28043,"['CH0095', 'CH0099']",['CS0512'],[]
28044,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS10911'],['CS7251']
28046,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS0530'],['CS9066']
28048,['CH0044'],['CS5277'],['CS9861']
28050,['CH0098'],['CS13990'],[]
28051,['CH0045'],['CS9643'],['CS9834']
28052,"['CH0095', 'CH0099']",['CS9389'],[]
28053,['CH0097'],['CS8610'],['CS9031']
28054,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7367'],"['CS7248', 'CS8231']"
28055,['CH0100'],['CS0567'],['CS11513']
28056,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7255'],['CS15740']
28057,['CH0097'],['CS8610'],['CS13587']
28059,['CH0097'],['CS0507'],['CS9039']
28060,['CH0100'],['CS0567'],['CS10803']
28061,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS10911'],[]
28062,['CH0097'],['CS8201'],"['CS13375', 'CS8907']"
28063,['CH0097'],['CS8201'],"['CS13376', 'CS9495']"
28064,['CH0097'],['CS8201'],['CS13222']
28066,['CH0098'],['CS9583'],[]
28067,['CH0049'],['CS9304'],['CS13710']
28068,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS0530'],[]
28069,['CH0097'],['CS8201'],['CS13983']
28070,['CH0097'],['CS8201'],"['CS13255', 'CS9494']"
28071,['CH0097'],['CS8201'],['CS13393']
28072,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7231'],['CS7252']
28073,['CH0086'],['CS9337'],['CS11132']
28075,['CH0100'],['CS11910'],['CS12770']
28076,['CH0097'],['CS8715'],['CS13305']
28078,['CH0097'],['CS8201'],['CS12733']
28082,"['CH0049', 'CH0102']",['CS0538'],[]
28083,['CH0044'],['CS7526'],[]
28084,['CH0096'],['CS8626'],['CS12612']
28085,['CH0049'],['CS9304'],['CS15380']
28086,['CH0097'],['CS8609'],[]
28087,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7232'],['CS9317']
28088,['CH0097'],['CS8201'],['CS12763']
28089,['CH0086'],['CS9337'],['CS13364']
28090,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7432'],['CS8716']
28091,['CH0100'],['CS0219'],['CS9877']
28093,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7232'],['CS15145']
28094,['CH0041'],['CS9304'],['CS13283']
28095,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7255'],['CS7373']
28096,['CH0045'],"['CS0545', 'CS19673']",[]
28097,['CH0097'],['CS8201'],"['CS13396', 'CS13394']"
28099,['CH0045'],['CS9643'],[]
28100,['CH0100'],['CS13070'],[]
28101,['CH0100'],['CS11910'],['CS11599']
28102,['CH0100'],['CS0219'],['CS7976']
28104,['CH0097'],['CS8610'],['CS12650']
28107,['CH0097'],['CS0558'],['CS8886']
28108,['CH0097'],['CS8609'],['CS13714']
28109,['CH0045'],['CS0554'],['CS9748']
28110,['CH0100'],['CS0219'],[]
28111,['CH0044'],['CS5277'],['CS9855']
28112,['CH0097'],['CS8715'],"['CS12764', 'CS18571']"
28114,['CH0097'],['CS8201'],"['CS12726', 'CS13403']"
28116,['CH0100'],['CS11910'],['CS11414']
28117,['CH0097'],['CS8201'],['CS12765']
28118,['CH0097'],['CS8201'],['CS12648']
28119,['CH0102'],['CS7200'],['CS7246']
28120,['CH0097'],['CS8715'],['CS13295']
28121,['CH0097'],['CS8609'],['CS13296']
28122,['CH0097'],['CS8610'],['CS9202']
28124,['CH0097'],['CS8201'],['CS13377']
28125,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7255'],[]
28126,['CH0097'],['CS8201'],['CS9043']
28128,['CH0045'],['CS9550'],['CS9739']
28129,['CH0097'],['CS8609'],['CS14041']
28130,['CH0096'],"['CS1351', 'CS5246']",[]
28131,['CH0027'],['CS7367'],[]
28132,"['CH0095', 'CH0099']",['CS8544'],[]
28133,['CH0045'],['CS0554'],[]
28135,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7255'],"['CS7366', 'CS7376', 'CS11482', 'CS15742']"
28136,['CH0044'],['CS5277'],['CS10479']
28137,['CH0044'],['CS7526'],['CS7527']
28138,['CH0097'],['CS8201'],['CS12727']
28140,['CH0098'],['CS9583'],['CS13050']
28141,['CH0045'],['CS19640'],[]
28143,['CH0097'],['CS8201'],['CS13925']
28144,['CH0049'],['CS9304'],[]
28145,['CH0097'],['CS0507'],['CS9204']
28146,['CH0100'],['CS0219'],['CS11577']
28147,"['CH0095', 'CH0099']",['CS8502'],['CS8921']
28149,['CH0098'],['CS9583'],['CS13085']
28150,['CH0098'],['CS9583'],['CS13132']
28151,['CH0097'],['CS0558'],[]
28152,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7231'],[]
28153,['CH0097'],['CS0558'],['CS13853']
28154,['CH0044'],['CS5277'],[]
28155,['CH0100'],['CS0567'],['CS9305']
28156,['CH0044'],['CS7526'],['CS9927']
28157,"['CH0095', 'CH0099']",['CS0512'],['CS8447']
28158,['CH0097'],['CS0531'],['CS12471']
28159,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7255'],['CS7374']
28160,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7367'],['CS7250']
28162,['CH0097'],['CS0507'],"['CS9208', 'CS9014']"
28163,['CH0097'],['CS0507'],['CS9203']
28164,['CH0097'],['CS0507'],['CS13708']
28165,['CH0100'],['CS0219'],['CS13713']
28166,['CH0044'],['CS5277'],['CS16638']
28167,['CH0096'],['CS8854'],[]
28168,['CH0097'],['CS8609'],"['CS12728', 'CS16578']"
28169,['CH0097'],['CS8609'],"['CS9166', 'CS13711']"
28170,"['CH0095', 'CH0099']",['CS0512'],['CS0565']
28171,['CH0045'],['CS0571'],[]
28172,['CH0044'],['CS5277'],"['CS19788', 'CS9860', 'CS6156']"
28173,['CH0100'],['CS0567'],['CS11506']
28174,['CH0045'],['CS0545'],['CS9687']
28175,['CH0045'],['CS0545'],['CS9711']
28176,['CH0102'],['CS7200'],['CS7256']
28177,['CH0102'],['CS7200'],['CS7249']
28178,['CH0045'],['CS0545'],['CS9863']
28179,['CH0100'],['CS11910'],['CS11438']
28180,['CH0100'],['CS0567'],[]
28181,['CH0045'],['CS9595'],[]
28182,['CH0097'],['CS8201'],['CS12678']
28183,"['CH0106', 'CH0028', 'CH0027', 'CH0043']",['CS7255'],"['CS10915', 'CS12672']"
28901,['CH0097'],['CS0531'],"['CS12644', 'CS12645', 'CS12646']"
28902,['CH0097'],['CS8201'],"['CS12730', 'CS13404', 'CS9044']"
